experiment,model,device,accuracy,macro_precision,macro_recall,macro_f1,loss
tiny_cnn,tiny_cnn,cpu,0.7496757457846952,0.6716107021111001,0.7630301943828974,0.6589530393077697,0.7454544585578295
small_cnn,small_cnn,cpu,0.6679636835278858,0.5903254621159302,0.6840507836824693,0.5684522509451118,1.131640369186596
small_cnn_augmented,small_cnn,cpu,0.5369649805447471,0.6397645251155889,0.5745993976268425,0.4886556755465553,1.6961710094189157
dinov2_linear,dinov2_linear,mps,0.8261997405966277,0.6869347883510303,0.7918241041090488,0.7181167057250223,0.5794908660559022
